topicId,level,lesson,english,italian,issueType
"cloud-computing",0,"cloud_foundations_1","Cloud","Cloud (nuvola)",fake-translation
"cloud-computing",0,"cloud_foundations_1","Tenant","Tenant (inquilino)",fake-translation
"cloud-computing",0,"cloud_foundations_1","Scalability","Scalabilità",near-identical-translation
"cloud-computing",0,"cloud_foundations_1","Elasticity","Elasticità",near-identical-translation
"cloud-computing",0,"cloud_foundations_1","On-Demand","On-demand (a richiesta)",fake-translation
"cloud-computing",0,"cloud_foundations_2","PaaS","Piattaforma come servizio",tautological-example
"cloud-computing",0,"cloud_foundations_2","SaaS","Software come servizio",trivial-example
"cloud-computing",0,"cloud_foundations_2","Serverless","Serverless (senza server)",fake-translation
"cloud-computing",0,"cloud_foundations_3","Public Cloud","Cloud pubblico",trivial-example
"cloud-computing",0,"cloud_foundations_3","Hybrid Cloud","Cloud ibrido",tautological-example
"cloud-computing",0,"cloud_foundations_4","Region","Regione",near-identical-translation
"cloud-computing",0,"cloud_foundations_4","Latency","Latenza",near-identical-translation
"cloud-computing",0,"cloud_foundations_4","Geo-Replication","Geo-replicazione",near-identical-translation
"cloud-computing",0,"cloud_foundations_4","Data Residency","Residenza dei dati",trivial-example
"cloud-computing",0,"cloud_foundations_4","Region Pair","Coppia di regioni",trivial-example
"cloud-computing",1,"cloud_compute_1","EC2","EC2 (Elastic Compute Cloud)",fake-translation
"cloud-computing",1,"cloud_compute_1","Guest OS","Sistema operativo guest",trivial-example
"cloud-computing",1,"cloud_compute_1","Snapshot","Istantanea (snapshot)",trivial-example
"cloud-computing",1,"cloud_compute_2","AMI","AMI (immagine macchina Amazon)",fake-translation
"cloud-computing",1,"cloud_compute_2","AMI","AMI (immagine macchina Amazon)",trivial-example
"cloud-computing",1,"cloud_compute_2","vCPU","vCPU (CPU virtuale)",fake-translation
"cloud-computing",1,"cloud_compute_2","Memory","Memoria",near-identical-translation
"cloud-computing",1,"cloud_compute_2","Memory","Memoria",trivial-example
"cloud-computing",1,"cloud_compute_2","Reserved Instance","Istanza riservata",tautological-example
"cloud-computing",1,"cloud_compute_2","Image","Immagine",trivial-example
"cloud-computing",1,"cloud_compute_3","Auto Scaling","Auto-scaling",near-identical-translation
"cloud-computing",1,"cloud_compute_3","Scaling Policy","Politica di scaling",trivial-example
"cloud-computing",1,"cloud_compute_3","Capacity","Capacità",near-identical-translation
"cloud-computing",1,"cloud_compute_3","Capacity","Capacità",trivial-example
"cloud-computing",1,"cloud_compute_4","Sticky Session","Sessione persistente",tautological-example
"cloud-computing",1,"cloud_compute_4","Target Group","Gruppo target",trivial-example
"cloud-computing",2,"cloud_storage_1","S3","S3 (Simple Storage Service)",fake-translation
"cloud-computing",2,"cloud_storage_1","Bucket","Contenitore di oggetti (bucket)",trivial-example
"cloud-computing",2,"cloud_storage_1","Object","Oggetto",trivial-example
"cloud-computing",2,"cloud_storage_1","Blob","Blob (Binary Large Object)",fake-translation
"cloud-computing",2,"cloud_storage_1","Metadata","Metadati",near-identical-translation
"cloud-computing",2,"cloud_storage_2","EBS","EBS (Elastic Block Store)",tautological-example
"cloud-computing",2,"cloud_storage_2","EBS","EBS (Elastic Block Store)",fake-translation
"cloud-computing",2,"cloud_storage_2","Volume","Unità di archiviazione (volume)",trivial-example
"cloud-computing",2,"cloud_storage_2","IOPS","IOPS (operazioni I/O al secondo)",fake-translation
"cloud-computing",2,"cloud_storage_2","File Storage","Archiviazione a file",tautological-example
"cloud-computing",2,"cloud_storage_2","File Storage","Archiviazione a file",trivial-example
"cloud-computing",2,"cloud_storage_2","EFS","EFS (Elastic File System)",tautological-example
"cloud-computing",2,"cloud_storage_2","EFS","EFS (Elastic File System)",fake-translation
"cloud-computing",2,"cloud_storage_2","EFS","EFS (Elastic File System)",trivial-example
"cloud-computing",2,"cloud_storage_2","NFS","NFS (Network File System)",tautological-example
"cloud-computing",2,"cloud_storage_2","NFS","NFS (Network File System)",fake-translation
"cloud-computing",2,"cloud_storage_2","NFS","NFS (Network File System)",trivial-example
"cloud-computing",2,"cloud_storage_2","SMB","SMB (Server Message Block)",fake-translation
"cloud-computing",2,"cloud_storage_2","SMB","SMB (Server Message Block)",trivial-example
"cloud-computing",2,"cloud_storage_2","Mount Point","Punto di mount",trivial-example
"cloud-computing",2,"cloud_storage_3","Cool Tier","Livello di accesso infrequente (cool tier)",tautological-example
"cloud-computing",2,"cloud_storage_3","Retrieval","Recupero",trivial-example
