topicId,level,lesson,english,italian,issueType
"databases",0,"db_foundations_3","NOT NULL","Non nullo",near-identical-translation
"databases",0,"db_foundations_4","Persistence","Persistenza",near-identical-translation
"databases",0,"db_foundations_4","Disk","Disco",near-identical-translation
"databases",0,"db_foundations_4","Data","Dati",near-identical-translation
"databases",0,"db_foundations_4","Metadata","Metadati",near-identical-translation
"databases",1,"db_sql_1","Asterisk","Asterisco",near-identical-translation
"databases",1,"db_sql_1","AND","E (AND)",near-identical-translation
"databases",1,"db_sql_3","Pagination","Paginazione",near-identical-translation
"databases",2,"db_sql_6","GROUPING","Raggruppamento",tautological-example
"databases",3,"db_design_1","Entity","Entità",near-identical-translation
"databases",3,"db_design_1","Cardinality","Cardinalità",near-identical-translation
"databases",3,"db_design_1","Attribute","Attributo",near-identical-translation
"databases",3,"db_design_4","Polymorphic Association","Associazione polimorfica",tautological-example
"databases",4,"db_normalization_1","Decomposition","Decomposizione",near-identical-translation
"databases",4,"db_normalization_2","Armstrong Axioms","Assiomi di Armstrong",tautological-example
"databases",4,"db_normalization_3","Anomaly","Anomalia",near-identical-translation
"databases",4,"db_normalization_3","Dependency Preservation","Preservazione delle dipendenze",tautological-example
"databases",4,"db_normalization_4","Pre-aggregation","Pre-aggregazione",near-identical-translation
"databases",5,"db_indexing_1","Index Lookup","Lookup su indice",tautological-example
"databases",5,"db_indexing_1","Index Lookup","Lookup su indice",trivial-example
"databases",5,"db_indexing_1","Full Table Scan","Scansione completa della tabella",trivial-example
"databases",5,"db_indexing_1","Selectivity","Selettività",near-identical-translation
"databases",5,"db_indexing_1","Cardinality","Cardinalità",near-identical-translation
"databases",5,"db_indexing_1","Index Maintenance","Manutenzione dell'indice",trivial-example
"databases",5,"db_indexing_1","Index Bloat","Gonfiore dell'indice",tautological-example
"databases",5,"db_indexing_1","Index Bloat","Gonfiore dell'indice",trivial-example
"databases",5,"db_indexing_2","B-tree Index","Indice B-tree",trivial-example
"databases",5,"db_indexing_2","Hash Index","Indice hash",tautological-example
"databases",5,"db_indexing_2","GIN Index","Indice GIN",tautological-example
"databases",5,"db_indexing_2","GiST Index","Indice GiST",trivial-example
"databases",5,"db_indexing_2","BRIN Index","Indice BRIN",tautological-example
"databases",5,"db_indexing_2","Unique Index","Indice univoco",trivial-example
"databases",5,"db_indexing_3","Index-Only Scan","Scansione solo indice",tautological-example
"databases",5,"db_indexing_3","Index-Only Scan","Scansione solo indice",trivial-example
"databases",5,"db_indexing_3","Index Skip Scan","Scansione con skip",tautological-example
"databases",5,"db_indexing_3","Bitmap Index Scan","Scansione con bitmap",trivial-example
"databases",5,"db_indexing_3","Index Cost","Costo dell'indice",trivial-example
"databases",5,"db_indexing_3","Over-indexing","Eccesso di indici",tautological-example
"databases",5,"db_indexing_3","Over-indexing","Eccesso di indici",trivial-example
"databases",5,"db_indexing_3","Unused Index","Indice inutilizzato",trivial-example
"databases",5,"db_indexing_3","Reindex","Reindicizza",tautological-example
"databases",5,"db_indexing_3","Reindex","Reindicizza",trivial-example
"databases",5,"db_indexing_4","Full-Text Index","Indice full-text",tautological-example
"databases",5,"db_indexing_4","Spatial Index","Indice spaziale",tautological-example
"databases",5,"db_indexing_4","JSON Index","Indice JSON",tautological-example
"databases",5,"db_indexing_4","JSON Index","Indice JSON",trivial-example
"databases",5,"db_indexing_4","Inverted Index","Indice invertito",tautological-example
"databases",5,"db_indexing_4","Bitmap Index","Indice bitmap",tautological-example
"databases",5,"db_indexing_4","Clustered Index","Indice clusterizzato",redundant-note
"databases",5,"db_indexing_4","Non-Clustered Index","Indice non clusterizzato",tautological-example
"databases",5,"db_indexing_4","Heap","tabella senza ordine fisico (Heap)",trivial-example
"databases",5,"db_indexing_4","IOT","Tabella organizzata a indice (IOT)",tautological-example
"databases",5,"db_indexing_4","IOT","Tabella organizzata a indice (IOT)",trivial-example
"databases",5,"db_indexing_4","Hot Index","Indice ""caldo""",trivial-example
"databases",6,"db_transactions_1","BEGIN","Inizio (BEGIN)",tautological-example
"databases",6,"db_transactions_1","BEGIN","Inizio (BEGIN)",trivial-example
"databases",6,"db_transactions_1","COMMIT","Conferma (COMMIT)",tautological-example
"databases",6,"db_transactions_1","COMMIT","Conferma (COMMIT)",trivial-example
"databases",6,"db_transactions_1","ROLLBACK","Annulla (ROLLBACK)",tautological-example
"databases",6,"db_transactions_1","ROLLBACK","Annulla (ROLLBACK)",trivial-example
"databases",6,"db_transactions_1","SAVEPOINT","Punto di salvataggio (SAVEPOINT)",trivial-example
"databases",6,"db_transactions_1","Auto-commit","commit automatico per ogni statement (Auto-commit)",tautological-example
"databases",6,"db_transactions_1","Distributed Transaction","Transazione distribuita",tautological-example
"databases",6,"db_transactions_1","Two-Phase Commit","Commit a due fasi",tautological-example
"databases",6,"db_transactions_2","ACID","Atomicità, Coerenza, Isolamento, Durabilità (ACID)",tautological-example
"databases",6,"db_transactions_2","ACID","Atomicità, Coerenza, Isolamento, Durabilità (ACID)",trivial-example
