topicId,level,lesson,english,italian,issueType
"networking",0,"net_foundations_1","Node","Nodo",near-identical-translation
"networking",0,"net_foundations_1","Protocol","Protocollo",near-identical-translation
"networking",0,"net_foundations_2","Segment","Segmento",near-identical-translation
"networking",0,"net_foundations_3","Topology","Topologia",near-identical-translation
"networking",0,"net_foundations_3","Latency","Latenza",near-identical-translation
"networking",1,"net_osi_2","Datagram","Datagramma",near-identical-translation
"networking",1,"net_osi_4","Mnemonic","Mnemonico",near-identical-translation
"networking",2,"net_tcpip_1","Port","porta",near-identical-translation
"networking",2,"net_tcpip_2","SYN","SYN",identical-translation
"networking",2,"net_tcpip_2","SYN-ACK","SYN-ACK",identical-translation
"networking",2,"net_tcpip_2","ACK","ACK",identical-translation
"networking",2,"net_tcpip_2","FIN","FIN",identical-translation
"networking",2,"net_tcpip_2","RST","RST",identical-translation
"networking",2,"net_tcpip_2","PSH","PSH",identical-translation
"networking",2,"net_tcpip_3","Port 80","porta 80",near-identical-translation
"networking",2,"net_tcpip_3","Port 443","porta 443",near-identical-translation
"networking",2,"net_tcpip_3","Port 22","porta 22",near-identical-translation
"networking",2,"net_tcpip_3","Port 53","porta 53",near-identical-translation
"networking",2,"net_tcpip_3","Port 25","porta 25",near-identical-translation
"networking",2,"net_tcpip_4","QUIC","QUIC",identical-translation
"networking",3,"net_addressing_1","IPv4","IPv4",identical-translation
"networking",3,"net_addressing_1","Localhost","localhost",identical-translation
"networking",3,"net_addressing_2","Supernetting","supernetting",identical-translation
"networking",3,"net_addressing_3","IPv6","IPv6",identical-translation
"networking",3,"net_addressing_3","EUI-64","EUI-64",identical-translation
"networking",3,"net_addressing_3","Tunneling","tunneling",identical-translation
"networking",3,"net_addressing_3","Anycast","anycast",identical-translation
"networking",3,"net_addressing_4","DHCP Discover","DHCP Discover",identical-translation
"networking",3,"net_addressing_4","Unicast","unicast",identical-translation
"networking",3,"net_addressing_4","Multicast","multicast",identical-translation
"networking",3,"net_addressing_4","Broadcast","broadcast",identical-translation
"networking",4,"net_switching_1","Preamble","preambolo",near-identical-translation
"networking",4,"net_switching_2","Store-and-Forward","store-and-forward",identical-translation
"networking",4,"net_switching_4","EtherChannel","EtherChannel",identical-translation
"networking",5,"net_routing_1","Convergence","convergenza",near-identical-translation
"networking",5,"net_routing_3","RIP","RIP",identical-translation
"networking",5,"net_routing_3","OSPF","OSPF",identical-translation
"networking",5,"net_routing_3","EIGRP","EIGRP",identical-translation
"networking",6,"net_dns_4","DNSSEC","DNSSEC",identical-translation
"networking",6,"net_dns_4","NXDOMAIN","NXDOMAIN",identical-translation
"networking",7,"net_protocols_1","HTTP/1.1","HTTP/1.1",identical-translation
"networking",7,"net_protocols_1","HTTP/2","HTTP/2",identical-translation
"networking",7,"net_protocols_1","HTTP/3","HTTP/3",identical-translation
"networking",7,"net_protocols_1","Pipelining","pipelining",identical-translation
"networking",7,"net_protocols_2","GET","GET",identical-translation
"networking",7,"net_protocols_2","POST","POST",identical-translation
"networking",7,"net_protocols_3","TLS 1.3","TLS 1.3",identical-translation
"networking",7,"net_protocols_4","Cookie","cookie",identical-translation
"networking",7,"net_protocols_4","Session","sessione",near-identical-translation
"networking",7,"net_protocols_4","WebSocket","WebSocket",identical-translation
"networking",7,"net_protocols_4","REST","REST",identical-translation
"networking",7,"net_protocols_4","JSON","JSON",identical-translation
"networking",8,"net_wireless_1","Wi-Fi","Wi-Fi",identical-translation
"networking",8,"net_wireless_1","Frequency","frequenza",near-identical-translation
"networking",8,"net_wireless_1","Association","associazione",near-identical-translation
"networking",8,"net_wireless_2","802.11","802.11",identical-translation
"networking",8,"net_wireless_2","802.11ac","802.11ac",identical-translation
"networking",8,"net_wireless_2","802.11ax","802.11ax",identical-translation
"networking",8,"net_wireless_2","Wi-Fi 6E","Wi-Fi 6E",identical-translation
"networking",8,"net_wireless_2","Wi-Fi 7","Wi-Fi 7",identical-translation
"networking",8,"net_wireless_2","MIMO","MIMO",identical-translation
"networking",8,"net_wireless_2","MU-MIMO","MU-MIMO",identical-translation
"networking",8,"net_wireless_2","OFDMA","OFDMA",identical-translation
"networking",8,"net_wireless_3","WEP","WEP",identical-translation
"networking",8,"net_wireless_3","WPA","WPA",identical-translation
"networking",8,"net_wireless_3","WPA2","WPA2",identical-translation
"networking",8,"net_wireless_3","WPA3","WPA3",identical-translation
"networking",8,"net_wireless_3","SAE","SAE",identical-translation
"networking",8,"net_wireless_4","Roaming","roaming",identical-translation
"networking",8,"net_wireless_4","Band Steering","band steering",identical-translation
"networking",8,"net_wireless_4","CAPWAP","CAPWAP",identical-translation
"networking",9,"net_firewalls_2","WAF","WAF",identical-translation
"networking",9,"net_firewalls_4","iptables","iptables",identical-translation
"networking",9,"net_firewalls_4","nftables","nftables",identical-translation
"networking",9,"net_firewalls_4","ufw","ufw",identical-translation
"networking",9,"net_firewalls_4","firewalld","firewalld",identical-translation
"networking",9,"net_firewalls_4","Connection Tracking","Tracking connessioni",tautological-example
"networking",10,"net_vpn_1","VPN encapsulation","incapsulamento VPN",tautological-example
"networking",10,"net_vpn_2","IPsec","IPsec",identical-translation
"networking",10,"net_vpn_2","IKE","IKE",identical-translation
"networking",10,"net_vpn_2","IKEv2","IKEv2",identical-translation
"networking",10,"net_vpn_2","ESP","ESP",identical-translation
"networking",10,"net_vpn_2","Phase 1","Fase 1",near-identical-translation
"networking",10,"net_vpn_2","Phase 2","Fase 2",near-identical-translation
"networking",10,"net_vpn_3","WireGuard","WireGuard",identical-translation
"networking",10,"net_vpn_3","OpenVPN","OpenVPN",identical-translation
"networking",10,"net_vpn_4","L2TP","L2TP",identical-translation
"networking",10,"net_vpn_4","PPTP","PPTP",identical-translation
"networking",10,"net_vpn_4","DMVPN","DMVPN",identical-translation
"networking",10,"net_vpn_4","Tailscale","Tailscale",identical-translation
"networking",11,"net_services_nat_1","NAT Overload","NAT overload",identical-translation
"networking",11,"net_services_nat_1","CGNAT","CGNAT",identical-translation
"networking",11,"net_services_pf_4","UPnP","UPnP",identical-translation
"networking",11,"net_services_pf_4","NAT-PMP","NAT-PMP",identical-translation
"networking",11,"net_services_pf_4","STUN","STUN",identical-translation
"networking",11,"net_services_pf_4","TURN","TURN",identical-translation
"networking",11,"net_services_pf_4","ICE","ICE",identical-translation
"networking",12,"net_protocols_email_1","POP3","POP3",identical-translation
"networking",12,"net_protocols_email_1","IMAP","IMAP",identical-translation
"networking",12,"net_protocols_email_1","SPF","SPF",identical-translation
"networking",12,"net_protocols_email_1","DKIM","DKIM",identical-translation
"networking",12,"net_protocols_email_1","DMARC","DMARC",identical-translation
"networking",12,"net_protocols_email_1","STARTTLS","STARTTLS",identical-translation
"networking",12,"net_protocols_file_2","FTPS","FTPS",tautological-example
"networking",12,"net_protocols_file_2","FTPS","FTPS",identical-translation
"networking",12,"net_protocols_file_2","SFTP","SFTP",identical-translation
"networking",12,"net_protocols_file_2","SCP","SCP",identical-translation
"networking",12,"net_protocols_file_2","TFTP","TFTP",identical-translation
"networking",12,"net_protocols_file_2","Rsync","rsync",identical-translation
"networking",12,"net_protocols_file_2","WebDAV","WebDAV",identical-translation
"networking",12,"net_protocols_file_2","SMB","SMB",identical-translation
"networking",12,"net_protocols_remote_3","Telnet","telnet",identical-translation
"networking",12,"net_protocols_remote_3","RDP","RDP",identical-translation
"networking",12,"net_protocols_remote_3","VNC","VNC",identical-translation
"networking",12,"net_protocols_remote_3","Mosh","Mosh",identical-translation
"networking",12,"net_protocols_other_4","SNMP","SNMP",identical-translation
"networking",12,"net_protocols_other_4","MIB","MIB",identical-translation
"networking",12,"net_protocols_other_4","OID","OID",identical-translation
"networking",12,"net_protocols_other_4","NTP","NTP",identical-translation
"networking",12,"net_protocols_other_4","LDAP","LDAP",identical-translation
"networking",12,"net_protocols_other_4","Active Directory","Active Directory",identical-translation
"networking",12,"net_protocols_other_4","Syslog","syslog",identical-translation
"networking",12,"net_protocols_other_4","RADIUS","RADIUS",identical-translation
"networking",12,"net_protocols_other_4","TACACS+","TACACS+",identical-translation
"networking",13,"net_tools_basic_1","ping","ping",identical-translation
"networking",13,"net_tools_basic_1","traceroute","traceroute",identical-translation
"networking",13,"net_tools_basic_1","mtr","mtr",identical-translation
"networking",13,"net_tools_basic_1","hostname","hostname",identical-translation
"networking",13,"net_tools_basic_1","nslookup","nslookup",identical-translation
"networking",13,"net_tools_basic_1","dig","dig",identical-translation
"networking",13,"net_tools_basic_1","whois","whois",identical-translation
"networking",13,"net_tools_basic_1","ifconfig","ifconfig",identical-translation
"networking",13,"net_tools_modern_2","netstat","netstat",identical-translation
"networking",13,"net_tools_modern_2","nmcli","nmcli",identical-translation
"networking",13,"net_tools_modern_2","NetworkManager","NetworkManager",identical-translation
"networking",13,"net_tools_modern_2","systemd-networkd","systemd-networkd",identical-translation
"networking",13,"net_tools_modern_2","iperf3","iperf3",identical-translation
"networking",13,"net_tools_modern_2","ethtool","ethtool",identical-translation
"networking",13,"net_tools_modern_2","route","route",identical-translation
"networking",13,"net_tools_capture_3","tcpdump","tcpdump",identical-translation
"networking",13,"net_tools_capture_3","Wireshark","Wireshark",identical-translation
"networking",13,"net_tools_capture_3","tshark","tshark",identical-translation
"networking",13,"net_tools_capture_3","pcap","pcap",identical-translation
"networking",13,"net_tools_capture_3","BPF","BPF",identical-translation
"networking",13,"net_tools_scan_4","nmap","nmap",identical-translation
"networking",13,"net_tools_scan_4","masscan","masscan",identical-translation
"networking",13,"net_tools_scan_4","fping","fping",identical-translation
"networking",13,"net_tools_scan_4","NSE","NSE",identical-translation
"networking",13,"net_tools_scan_4","Zenmap","Zenmap",identical-translation
"networking",14,"net_troubleshoot_2","MSS Clamping","MSS clamping",identical-translation
"networking",14,"net_troubleshoot_2","Jumbograms","Jumbogram",tautological-example
"networking",14,"net_troubleshoot_2","Jumbograms","Jumbogram",near-identical-translation
"networking",14,"net_troubleshoot_3","Bufferbloat","bufferbloat",identical-translation
"networking",14,"net_troubleshoot_3","BBR","BBR",identical-translation
"networking",14,"net_troubleshoot_methodology_4","Observability","osservabilità",near-identical-translation
"networking",15,"net_qos_1","CBWFQ","CBWFQ",identical-translation
"networking",15,"net_qos_dscp_2","DSCP","DSCP",identical-translation
"networking",15,"net_qos_dscp_2","ToS","ToS",identical-translation
"networking",15,"net_qos_dscp_2","CoS","CoS",identical-translation
"networking",15,"net_qos_rsvp_3","RSVP","RSVP",identical-translation
"networking",15,"net_qos_rsvp_3","IntServ","IntServ",identical-translation
"networking",15,"net_qos_rsvp_3","DiffServ","DiffServ",identical-translation
"networking",15,"net_qos_rsvp_3","Token Bucket","token bucket",identical-translation
"networking",15,"net_qos_rsvp_3","Leaky Bucket","leaky bucket",identical-translation
"networking",15,"net_qos_rsvp_3","CIR","CIR",identical-translation
"networking",15,"net_qos_rsvp_3","PIR","PIR",identical-translation
"networking",15,"net_qos_rsvp_3","WRED","WRED",identical-translation
"networking",15,"net_qos_linux_4","qdisc","qdisc",identical-translation
"networking",15,"net_qos_linux_4","pfifo_fast","pfifo_fast",identical-translation
"networking",15,"net_qos_linux_4","fq_codel","fq_codel",identical-translation
"networking",15,"net_qos_linux_4","CAKE","CAKE",identical-translation
"networking",15,"net_qos_linux_4","HTB","HTB",identical-translation
"networking",15,"net_qos_linux_4","Class","Classe",near-identical-translation
"networking",15,"net_qos_linux_4","Filter","Filtro",near-identical-translation
"networking",16,"net_routing_bgp_1","BGP","BGP",identical-translation
"networking",16,"net_routing_bgp_1","eBGP","eBGP",identical-translation
"networking",16,"net_routing_bgp_1","iBGP","iBGP",identical-translation
"networking",16,"net_routing_ospf_2","OSPFv3","OSPFv3",tautological-example
"networking",16,"net_routing_ospf_2","OSPFv3","OSPFv3",identical-translation
"networking",16,"net_routing_ospf_2","LSA","LSA",identical-translation
"networking",16,"net_routing_ospf_2","LSDB","LSDB",identical-translation
"networking",16,"net_routing_ospf_2","ABR","ABR",identical-translation
"networking",16,"net_routing_ospf_2","ASBR","ASBR",identical-translation
"networking",16,"net_routing_eigrp_3","EIGRP named mode","EIGRP named mode",tautological-example
"networking",16,"net_routing_eigrp_3","EIGRP named mode","EIGRP named mode",identical-translation
"networking",16,"net_routing_eigrp_3","DUAL","DUAL",identical-translation
"networking",16,"net_routing_eigrp_3","Successor","Successore",near-identical-translation
"networking",16,"net_routing_eigrp_3","IS-IS","IS-IS",identical-translation
"networking",16,"net_routing_eigrp_3","NSSA","NSSA",identical-translation
"networking",16,"net_routing_mpls_4","MPLS","MPLS",identical-translation
"networking",16,"net_routing_mpls_4","LDP","LDP",identical-translation
"networking",17,"net_sdn_1","OpenFlow","OpenFlow",identical-translation
"networking",17,"net_sdn_1","Programmability","programmabilità",near-identical-translation
"networking",17,"net_sdn_nfv_2","VXLAN","VXLAN",identical-translation
"networking",17,"net_sdn_nfv_2","VNI","VNI",identical-translation
"networking",17,"net_sdn_nfv_2","VTEP","VTEP",identical-translation
"networking",17,"net_sdn_nfv_2","GRE","GRE",identical-translation
"networking",17,"net_sdn_nfv_2","Geneve","Geneve",identical-translation
"networking",17,"net_sdn_nfv_2","EVPN","EVPN",identical-translation
"networking",17,"net_sdn_p4_3","Parser","parser",identical-translation
"networking",17,"net_sdn_p4_3","eBPF","eBPF",identical-translation
"networking",17,"net_sdn_p4_3","XDP","XDP",identical-translation
"networking",17,"net_sdn_p4_3","DPDK","DPDK",identical-translation
